ASV_numbers,domain,phylum,class,order,family,genus,species
ASV_237,Eukaryota,Basidiomycota,NA,Atheliales,Tylosporaceae,Amphinema,NA
ASV_238,Eukaryota,Basidiomycota,NA,Agaricales,Inocybaceae,Inocybe,Inocybe_hirtella
ASV_239,Eukaryota,Basidiomycota,NA,Filobasidiales,Piskurozymaceae,Solicoccozyma,Solicoccozyma_terricola
ASV_240,Eukaryota,Mortierellomycota,NA,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp
ASV_241,Eukaryota,Basidiomycota,NA,Agaricales,NA,NA,NA
ASV_242,Eukaryota,Basidiomycota,NA,Russulales,Russulaceae,Russula,Russula_vinosobrunnea
ASV_243,Eukaryota,Ascomycota,NA,Eurotiales,Aspergillaceae,Penicillium,NA
ASV_244,Eukaryota,Basidiomycota,NA,Thelephorales,Thelephoraceae,NA,NA
ASV_245,Eukaryota,Basidiomycota,NA,Agaricales,Inocybaceae,Inocybe,Inocybe_quietiodor
ASV_246,Eukaryota,Ascomycota,NA,Saccharomycetales,Lipomycetaceae,Lipomyces,NA
ASV_247,Eukaryota,Ascomycota,NA,Mycosphaerellales,Mycosphaerellaceae,NA,NA
ASV_248,Eukaryota,Basidiomycota,NA,Atheliales,Tylosporaceae,Tylospora,NA
ASV_249,Eukaryota,Basidiomycota,NA,Russulales,Russulaceae,Lactarius,NA
ASV_250,Eukaryota,Ascomycota,NA,Hypocreales,Hypocreaceae,Trichoderma,NA
ASV_251,Eukaryota,Basidiomycota,NA,Agaricales,NA,NA,NA
ASV_252,Eukaryota,Ascomycota,NA,Mytilinidales,Gloniaceae,NA,NA
ASV_253,Eukaryota,Ascomycota,NA,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Saccharomycetales_gen_Incertae_sedis,Saccharomycetales_sp
ASV_254,Eukaryota,Basidiomycota,NA,Agaricales,Inocybaceae,Inocybe,Inocybe_sp
ASV_255,Eukaryota,Ascomycota,NA,Pezizales,Helvellaceae,Helvella,Helvella_lacunosa
ASV_256,Eukaryota,Ascomycota,NA,Venturiales,NA,NA,NA
ASV_257,Eukaryota,Basidiomycota,NA,Sebacinales,Sebacinaceae,Sebacina,Sebacina_sp
ASV_258,Eukaryota,Basidiomycota,NA,Agaricomycetes_ord_Incertae_sedis,Agaricomycetes_fam_Incertae_sedis,Agaricomycetes_gen_Incertae_sedis,Agaricomycetes_sp
ASV_259,Eukaryota,Ascomycota,NA,Pleosporales,Lentitheciaceae,NA,NA
ASV_260,Eukaryota,Basidiomycota,NA,Cantharellales,Cantharellales_fam_Incertae_sedis,Cantharellales_gen_Incertae_sedis,Cantharellales_sp
ASV_261,Eukaryota,Basidiomycota,NA,Agaricales,Hygrophoraceae,Hygrophorus,Hygrophorus_sp
ASV_262,Eukaryota,Basidiomycota,NA,Russulales,Russulaceae,Russula,NA
ASV_263,Eukaryota,Mucoromycota,NA,Mucoromycotina_ord_Incertae_sedis,Mucoromycotina_fam_Incertae_sedis,Bifiguratus,NA
ASV_264,Eukaryota,Basidiomycota,NA,Agaricales,Inocybaceae,Inocybe,Inocybe_obscurobadia
ASV_265,Eukaryota,Basidiomycota,NA,Russulales,Russulaceae,Russula,NA
ASV_266,Eukaryota,Basidiomycota,NA,Cantharellales,Hydnaceae,Membranomyces,NA
ASV_267,Eukaryota,Basidiomycota,NA,Thelephorales,Thelephoraceae,Thelephoraceae_gen_Incertae_sedis,Thelephoraceae_sp
ASV_268,NA,NA,NA,NA,NA,NA,NA
ASV_269,Eukaryota,Basidiomycota,NA,Trichosporonales,Trichosporonaceae,NA,NA
ASV_270,Eukaryota,Basidiomycota,NA,Sebacinales,Sebacinaceae,Sebacina,Sebacina_sp
