,SPY213303,SPY213304,SPY213305,SPY213306,SPY213307,SPY213308,SPY213309,SPY213310,SPY213311,SPY213312,SPY213313,SPY213314,SPY213315,SPY213316,SPY213317,SPY213318,SPY213319,SPY213320,SPY213321,SPY213323,SPY213324,SPY213325,SPY213326,SPY213327,SPY213328,SPY213329,SPY213330,SPY213331,SPY213332,SPY213333,SPY213334,SPY213335,SPY213336,SPY213337,SPY213338,SPY213339,SPY213340,SPY213341,SPY213342,SPY213343,SPY213344,SPY213345,SPY213346,SPY213347,SPY213348,SPY213349,SPY213350,SPY213351
ASV_45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,388,409,0,0,0,0,37,0,0,0,0,0,0,0,0,2528,189,0,9818,753,3513,0,0,0,146,5,0,0,0,0,0,0
ASV_46,0,0,0,0,0,0,0,0,9,63,1418,3920,563,449,266,2246,377,255,27,111,556,413,374,0,0,0,0,0,0,0,0,0,0,0,188,175,120,0,0,0,17,248,84,22,3223,396,1172,882
ASV_47,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,128,139,0,0,0,0,1107,0,0,0,0,0,0,4534,0,0,0,0,0,0,0,0,0,0,0,42,0,2796,0,4145,4594,0
ASV_48,0,0,170,0,0,0,0,0,0,0,91,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1642,102,0,2636,0,0,0,0,0,0,4383,437,29,31,304,3363,3002
ASV_49,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2702,106,0,0,0,0,0,0,0,5117,0,0,0,3818,4144
ASV_50,0,0,0,0,298,15,0,67,61,0,1646,0,140,117,167,499,253,1166,969,49,61,0,241,0,0,74,0,0,0,0,2294,191,0,2601,113,0,0,0,0,2083,319,0,0,0,2264,0,0,0
ASV_51,572,0,0,0,1939,77,0,0,0,434,579,0,0,0,0,473,194,188,0,0,0,0,0,60,350,250,0,61,209,0,3818,391,0,185,4353,0,0,0,212,0,0,0,0,950,0,62,0,0
ASV_52,32,68,134,224,81,0,229,93,95,17,14,30,88,25,25,175,42,125,88,46,38,226,393,518,2736,240,221,196,727,3631,3090,422,71,57,118,39,44,0,0,0,340,31,136,22,0,40,23,0
ASV_53,0,372,0,396,290,156,0,85,0,295,222,0,203,175,186,0,0,0,0,0,92,56,173,1168,109,147,0,0,148,345,0,725,218,0,3151,0,0,1154,0,910,211,226,130,1365,1489,0,183,144
ASV_54,0,69,0,0,0,0,0,0,0,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10449,0,0,0,0,0,0,175,658,941,0,0,1843,0,0,0
